(107.97222656861203, 168.18971991863566)
(181.98255359098727, 141.27687372868104)
(225.0431074949147, 125.12916601470829)
(292.3252229698012, 114.36402753872642)
(44.727038022218665, 224.7066969175404)
(130.84814583007346, 204.5220622750744)
(200.8215459239555, 189.7199968705994)
(245.22774213738057, 181.64614301361303)
(315.2011422312627, 168.18971991863566)
(370.37247692066967, 160.11586606164929)
(424.1981693005789, 146.65944296667192)
(461.8761539665154, 139.9312314191833)
(526.4669848224064, 123.78352370521054)
(603.1685964637771, 111.67274291973092)
(675.8332811766546, 104.9445313722423)
(761.9543889845094, 113.01838522922867)
(848.0754967923641, 113.01838522922867)
(928.8140353622281, 118.40095446721966)
(565.4906117978406, 156.07893913315604)
(334.0401345642309, 204.5220622750744)
(262.7210921608512, 222.0154122985449)
(186.01948051948045, 243.54568925050864)
(285.59701142231256, 248.92825848849952)
(410.74174620560154, 207.2133468940699)
(513.0105617274291, 174.9179314661243)
(554.7254733218588, 184.3374276326084)
(622.0075887967454, 177.60921608511978)
(687.9440619621342, 169.5353622281334)
(772.7195274604913, 178.95485839461753)
(840.0016429353778, 166.8440776091379)
(896.5186199342826, 161.46150837114703)
(975.9115161946487, 169.5353622281334)
(998.7874354561101, 219.3241276795494)
(944.9617430762008, 222.0154122985449)
(873.6427006728212, 212.59591613206078)
(554.7254733218588, 232.78055077452677)
(451.11101549053353, 217.97848537005166)
(382.4832577061492, 244.89133156000628)
(231.77131904240332, 290.64317008292915)
(320.58371146925356, 282.56931622594277)
(405.35917696761067, 278.53238929744964)
(468.60436551400403, 263.7303238929745)
(507.62799248943816, 283.9149585354405)
(613.933734939759, 308.13652010639964)
(690.6353465811296, 273.14982005945865)
(779.44773900798, 304.0995931779065)
(857.4949929588482, 286.606243154436)
(973.2202315756532, 339.0862932248475)
(771.3738851509935, 337.74065091534976)
(687.9440619621342, 321.592943201377)
(572.2188233453293, 367.3447817242999)
(471.2956501329994, 321.592943201377)
(382.4832577061492, 328.32115474886564)
(343.45963073071505, 352.54271631982476)
(222.3518228759192, 345.81450477233614)
(148.34149585354396, 364.6534971053044)
(48.76396495071185, 370.03606634329526)
(246.57338444687832, 380.80120481927713)
(344.8052730402127, 384.8381317477704)
(468.60436551400403, 374.0729932717885)
(573.564465654827, 367.3447817242999)
(596.4403849162885, 383.4924894382726)
(685.2527773431387, 396.94891253324994)
(774.065169769989, 383.4924894382726)
(810.3975121264278, 361.9622124863089)
(938.2335315287122, 413.0966202472227)
(884.407839148803, 450.7746049131592)
(819.817008292912, 461.539743389141)
(741.7697543420435, 442.7007510561728)
(630.0814426537318, 425.2074010327023)
(394.5940384916288, 421.17047410420906)
(296.36214989829443, 442.7007510561728)
(243.88209982788294, 435.9725395086841)
(216.96925363792832, 414.44226255672044)
(159.10663432952583, 427.89868565169775)
(121.42864966358934, 434.6268971991864)
(66.25731497418235, 446.737677984666)
(75.67681114066647, 479.03309341261155)
(173.9086997340009, 499.2177280550775)
(284.2513691128148, 472.30488186512287)
(370.37247692066967, 480.37873572210924)
(429.5807385385698, 452.12024722265693)
(483.40643091847903, 452.12024722265693)
(537.2321232983883, 456.1571741511501)
(721.5851196995774, 497.87208574557974)
(531.8495540603974, 501.9090126740729)
(484.7520732279768, 500.56337036457523)
(399.9766077296197, 501.9090126740729)
(347.4965576592082, 499.2177280550775)
(264.0667344703488, 518.0567203880457)
(195.43897668596458, 536.895712721014)
(138.92199968705984, 520.7480050070412)
(40.69011109372548, 508.6372242215616)
(70.29424190267554, 563.8085589109686)
(238.49953058989195, 569.1911281489595)
(370.37247692066967, 547.6608511969957)
(441.6915193240494, 534.2044281020185)
(581.6383195118134, 563.8085589109686)
(630.0814426537318, 536.895712721014)
(682.5614927241432, 544.9695665780004)
(787.5215928649662, 551.697778125489)
(834.6190736973869, 534.2044281020185)
(932.8509622907212, 511.32850884055705)
(994.750508527617, 458.84845877014556)
(979.9484431231418, 544.9695665780004)
(866.9144891253324, 618.9798936003756)
(803.669300578939, 635.1276013143483)
(627.3901580347363, 636.4732436238461)
(514.3562040369269, 573.2280550774526)
(382.4832577061492, 596.1039743389141)
(305.78164606477856, 588.0301204819277)
(258.68416523235794, 592.0670474104209)
(94.51580347363472, 625.7081051478642)
