[[],
	[[0, 2], [0, 6]],
	[[0, 1], [0, 3], [0, 7]],
	[[0, 2], [0, 4], [0, 8]],
	[[0, 3], [0, 9]],
	[[0, 6], [0, 57], [1, 6], [1, 56]],
	[[0, 1], [0, 5], [0, 7], [1, 5], [1, 8], [1, 55]],
	[[0, 2], [0, 6], [0, 8], [0, 21], [0, 22], [0, 39]],
	[[0, 3], [0, 7], [0, 9], [0, 21], [1, 6], [1, 9], [2, 13], [2, 40]],
	[[0, 4], [0, 8], [0, 10], [0, 20], [1, 8], [1, 11], [1, 38]],
	[[0, 9], [0, 11], [0, 24]],
	[[0, 10], [0, 12], [0, 24], [1, 9], [1, 13], [1, 38]],
	[[0, 11], [0, 13], [0, 37]],
	[[0, 12], [0, 24], [0, 19], [1, 11], [1, 26], [1, 42], [2, 8], [2, 30], [2, 40]],
	[[0, 13], [0, 15]],
	[[0, 14], [0, 28]],
	[[0, 17], [0, 29]],
	[[0, 16], [0, 18], [0, 30]],
	[[0, 17], [0, 31], [0, 32], [1, 33], [1, 35]],
	[[0, 13], [0, 27]],
	[[0, 9], [0, 21], [0, 23], [0, 38], [0, 40], [0, 41], [0, 53]],
	[[0, 7], [0, 8], [0, 20], [0, 22], [0, 23], [0, 38], [0, 39], [0, 40], [0, 41], [0, 53]],
	[[0, 6], [0, 7], [0, 21], [0, 39]],
	[[0, 20], [0, 21], [0, 38], [0, 39], [0, 40], [0, 41], [0, 53]],
	[[0, 10], [0, 11], [0, 38]],
	[[0, 26], [0, 37]],
	[[0, 25], [0, 27], [0, 36], [1, 13], [1, 28], [1, 44]],
	[[0, 26], [0, 19], [0, 28]],
	[[0, 15], [0, 27], [0, 45], [1, 26], [1, 35], [1, 45]],
	[[0, 16], [0, 30], [0, 46]],
	[[0, 17], [0, 29], [0, 35], [0, 46], [2, 13], [2, 60], [2, 69]],
	[[0, 18], [0, 32], [0, 35]],
	[[0, 18], [0, 33], [0, 35]],
	[[0, 32], [0, 34], [0, 48], [1, 18], [1, 35], [1, 67]],
	[[0, 33], [0, 35]],
	[[0, 30], [0, 31], [1, 28], [1, 47], [1, 33], [1, 18]],
	[[0, 26], [0, 42], [0, 43], [0, 44]],
	[[0, 12], [0, 25], [0, 38], [0, 42]],
	[[0, 20], [0, 21], [0, 23], [0, 24], [0, 37], [0, 40], [0, 41],	[0, 53], [1, 9], [1, 11], [1, 40]],
	[[0, 7], [0, 21], [0, 22], [0, 23], [0, 55]],
	[[0, 20], [0, 21], [0, 23], [0, 38], [0, 41], [0, 53], [0, 55], [1, 38], [1, 55], [2, 8], [2, 13], [2, 56], [2, 72]],
	[[0, 20], [0, 21], [0, 23], [0, 38], [0, 40], [0, 42], [0, 53]],
	[[0, 36], [0, 37], [0, 41], [0, 43], [0, 52], [1, 13], [1, 60]],
	[[0, 36], [0, 42], [0, 44], [0, 60]],
	[[0, 36], [0, 43], [0, 45], [0, 51], [0, 61], [1, 26], [1, 45], [1, 61]],
	[[0, 28], [0, 44], [0, 46], [0, 50], [1, 28], [1, 44], [1, 47], [1, 63]],
	[[0, 29], [0, 30], [0, 45], [0, 47], [0, 49]],
	[[0, 35], [0, 46], [0, 48], [1, 35], [1, 45], [1, 65]],
	[[0, 33], [0, 47], [0, 66]],
	[[0, 46], [0, 50], [0, 65], [0, 63], [0, 64]],
	[[0, 45], [0, 49], [0, 51], [0, 63]],
	[[0, 44], [0, 50], [0, 62], [0, 63]],
	[[0, 42], [0, 60]],
	[[0, 20], [0, 21], [0, 23], [0, 38], [0, 40], [0, 41], [0, 42], [0, 53], [0, 54]],
	[[0, 53], [0, 55], [0, 59]],
	[[0, 39], [0, 56], [0, 58], [1, 56], [1, 40], [1, 6], [1, 72]],
	[[0, 55], [0, 57], [0, 75], [0, 76], [0, 77], [1, 5], [1, 55], [1, 79], [1, 92], [1, 93], [2, 40], [2, 72]],
	[[0, 5], [0, 56]],
	[[0, 55], [0, 72], [0, 73], [0, 74]],
	[[0, 54], [0, 60], [0, 71], [0, 72]],
	[[0, 52], [0, 59], [0, 61], [0, 71], [0, 83], [1, 42], [1, 61], [1, 71], [1, 83], [2, 30], [2, 69], [2, 72]],
	[[0, 44], [0, 60], [0, 62], [1, 60], [1, 44], [1, 84]],
	[[0, 51], [0, 61], [0, 63], [0, 70]],
	[[0, 49], [0, 50], [0, 51], [0, 62], [0, 64], [0, 69], [0, 70], [1, 45], [1, 69], [1, 84]],
	[[0, 49], [0, 63], [0, 65], [0, 68], [0, 69]],
	[[0, 49], [0, 64], [0, 66], [0, 67], [1, 47], [1, 69], [1, 67]],
	[[0, 48], [0, 65], [0, 104]],
	[[0, 65], [0, 68], [0, 103], [1, 65], [1, 33], [1, 69], [1, 105]],
	[[0, 64], [0, 67], [0, 69], [0, 102]],
	[[0, 63], [0, 64], [0, 68], [0, 85], [0, 101], [1, 65], [1, 63], [1, 100], [1, 107], [2, 30], [2, 60], [2, 105], [2, 109]],
	[[0, 62], [0, 63], [0, 84], [0, 99]],
	[[0, 59], [0, 60], [0, 72], [0, 82], [1, 60], [1, 72], [1, 83]],
	[[0, 58], [0, 59], [0, 71], [0, 73], [0, 80], [0, 81], [1, 71], [1, 55], [1, 97], [1, 95], [2, 40], [2, 56], [2, 60], [2, 109]],
	[[0, 58], [0, 72], [0, 74], [0, 79], [0, 80]],
	[[0, 58], [0, 73], [0, 75]],
	[[0, 56], [0, 74], [0, 76], [0, 79]],
	[[0, 56], [0, 75], [0, 78]],
	[[0, 56], [0, 78]],
	[[0, 76], [0, 77], [0, 92], [0, 93]],
	[[0, 73], [0, 75], [0, 91], [0, 92], [1, 56], [1, 95], [1, 92]],
	[[0, 72], [0, 73], [0, 89], [0, 90]],
	[[0, 72], [0, 82], [0, 88], [0, 89]],
	[[0, 71], [0, 81], [0, 83], [0, 88]],
	[[0, 60], [0, 82], [0, 84], [0, 87], [1, 60], [1, 71], [1, 97]],
	[[0, 70], [0, 83], [0, 86], [1, 109], [1, 63], [1, 61]],
	[[0, 69], [0, 99], [0, 100]],
	[[0, 84], [0, 99], [0, 109]],
	[[0, 83], [0, 97]],
	[[0, 81], [0, 82], [0, 97]],
	[[0, 80], [0, 81], [0, 90], [0, 96], [0, 111]],
	[[0, 80], [0, 89], [0, 91], [0, 95], [0, 111]],
	[[0, 79], [0, 90], [0, 95]],
	[[0, 78], [0, 79], [0, 94], [1, 56], [1, 113], [1, 93], [1, 79]],
	[[0, 78], [0, 94], [1, 56], [1, 92], [1, 113]],
	[[0, 92], [0, 93], [0, 113]],
	[[0, 90], [0, 91], [0, 112], [1, 72], [1, 79], [1, 111], [1, 113]],
	[[0, 89], [0, 97], [0, 110]],
	[[0, 87], [0, 88], [0, 96], [0, 109], [0, 110], [1, 111], [1, 72], [1, 83], [1, 109]],
	[[0, 99], [0, 108], [0, 109]],
	[[0, 70], [0, 85], [0, 86], [0, 98], [0, 108]],
	[[0, 85], [0, 101], [0, 108], [1, 69], [1, 109]],
	[[0, 69], [0, 100], [0, 102], [0, 107]],
	[[0, 68], [0, 101], [0, 103], [0, 106]],
	[[0, 67], [0, 102], [0, 105]],
	[[0, 66], [0, 105]],
	[[0, 103], [0, 104], [0, 106], [1, 67], [1, 107], [2, 69]],
	[[0, 102], [0, 105], [0, 107]],
	[[0, 101], [0, 106], [0, 108], [1, 69], [1, 105]],
	[[0, 98], [0, 99], [0, 100], [0, 107]],
	[[0, 86], [0, 97], [0, 98], [1, 84], [1, 100], [2, 72], [2, 69]],
	[[0, 96], [0, 97], [0, 111]],
	[[0, 89], [0, 90], [0, 110], [0, 112], [1, 113], [1, 97]],
	[[0, 95], [0, 111], [0, 113]],
	[[0, 94], [0, 112], [1, 111], [1, 95], [1, 92], [1, 93]]
]
